"Latest: Time (s)","Latest: Potential (mV)","Latest: EKG (mV)"
0.36,0.001221001221,-0.0314918823413
0.365,0.00976800976801,-0.0189182481231
0.37,-0.002442002442,-0.00839854463456
0.375,-0.00610500610501,-0.0017313927178
0.38,-0.00854700854701,0.000796870500125
0.385,-0.018315018315,-2.18605464235E-05
0.39,-0.019536019536,-0.0034058189227
0.395,-0.019536019536,-0.0079902249654
0.4,-0.018315018315,-0.0123190782115
0.405,-0.00854700854701,-0.0151601863931
0.41,0.003663003663,-0.0152245129444
0.415,-0.040293040293,-0.0143619302042
0.42,-0.0964590964591,-0.0192859666785
0.425,-0.161172161172,-0.0363424991797
0.43,-0.225885225885,-0.067765579638
0.435,-0.261294261294,-0.111045364369
0.44,-0.274725274725,-0.159042015875
0.445,-0.264957264957,-0.202923852495
0.45,-0.179487179487,-0.23246005599
0.455,-0.013431013431,-0.233493804168
0.46,0.211233211233,-0.19069094637
0.465,0.316239316239,-0.100994079032
0.47,0.362637362637,0.0174071562747
0.475,0.335775335775,0.135963079726
0.48,0.249084249084,0.228381109134
0.485,0.142857142857,0.27675248777
0.49,0.0659340659341,0.277186637184
0.495,0.025641025641,0.240108119545
0.5,-0.003663003663,0.182804379586
0.505,-0.00854700854701,0.121339933085
0.51,-0.020757020757,0.0668053294787
0.515,-0.041514041514,0.0234326191185
0.52,-0.0549450549451,-0.00954507465774
0.525,-0.0586080586081,-0.0336908237414
0.53,-0.0659340659341,-0.0503328873681
0.535,-0.0720390720391,-0.0613401728537
0.54,-0.0854700854701,-0.0690658904736
0.545,-0.0854700854701,-0.0752729163952
0.55,-0.0842490842491,-0.0801509358562
0.555,-0.0842490842491,-0.0833625523897
0.56,-0.0927960927961,-0.085499942858
0.565,-0.0952380952381,-0.0876158408926
0.57,-0.0976800976801,-0.0900629787546
0.575,-0.0927960927961,-0.0923341148724
0.58,-0.105006105006,-0.0943249127177
0.585,-0.112332112332,-0.0970496741082
0.59,-0.118437118437,-0.101153443779
0.595,-0.123321123321,-0.106304709171
0.6,-0.120879120879,-0.111640194007
0.605,-0.123321123321,-0.116194392072
0.61,-0.120879120879,-0.119523970286
0.615,-0.125763125763,-0.121749521673
0.62,-0.142857142857,-0.124147964105
0.625,-0.145299145299,-0.128103976129
0.63,-0.125763125763,-0.132208682057
0.635,-0.123321123321,-0.133826623967
0.64,-0.131868131868,-0.133190739771
0.645,-0.14652014652,-0.132915581931
0.65,-0.152625152625,-0.134896379356
0.655,-0.15873015873,-0.139142000809
0.66,-0.172161172161,-0.145182559412
0.665,-0.184371184371,-0.153075341163
0.67,-0.196581196581,-0.162732042394
0.675,-0.213675213675,-0.173952724106
0.68,-0.224664224664,-0.186519437858
0.685,-0.235653235653,-0.199738652486
0.69,-0.236874236874,-0.212416625885
0.695,-0.238095238095,-0.223164903025
0.7,-0.233211233211,-0.230924455369
0.705,-0.230769230769,-0.235275324872
0.71,-0.222222222222,-0.236302003837
0.715,-0.208791208791,-0.233983526373
0.72,-0.189255189255,-0.227912967815
0.725,-0.166056166056,-0.21762499991
0.73,-0.133089133089,-0.202598782555
0.735,-0.0891330891331,-0.181875340529
0.74,-0.035409035409,-0.154119213502
0.745,0.020757020757,-0.118450498829
0.75,0.0732600732601,-0.0753895944538
0.755,0.130647130647,-0.0265564985804
0.76,0.180708180708,0.026130600479
0.765,0.223443223443,0.0802285679769
0.77,0.251526251526,0.132585687132
0.775,0.250305250305,0.178931481668
0.78,0.26862026862,0.215796544629
0.785,0.295482295482,0.24406893695
0.79,0.286935286935,0.265827326379
0.795,0.289377289377,0.280930304478
0.8,0.284493284493,0.289578870548
0.805,0.273504273504,0.292612277245
0.81,0.260073260073,0.290465543218
0.815,0.238095238095,0.283407261081
0.82,0.216117216117,0.271574610446
0.825,0.192918192918,0.255465442918
0.83,0.18315018315,0.236620684617
0.835,0.175824175824,0.217598493484
0.84,0.169719169719,0.200590975873
0.845,0.166056166056,0.186642436354
0.85,0.136752136752,0.174800780218
0.855,0.102564102564,0.161730590913
